管理番号,No.,都道府県,面接拠点,分野,種別,名称,募集人数,派遣先事業所住所,業務内容,案件キャッチコピー,最寄り駅,最寄り駅より車で,通勤方法,送迎バス,日勤のみフラグ,就業時間,休憩,土日休みフラグ,勤務形態・休日,入社予定日,社宅補助（契約社員）,性別,備考,勤務地市町村
A-8派生2,A-8,愛知県,,エンジニア,機械,大手自動車部品メーカー,10,愛知県豊田市西広瀬町桐ケ洞543,生産管理,未経験者でもスタートできるエンジニア職！,愛知環状鉄道トヨタ市駅,自動車30分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,未経験歓迎　きれいな職場です,愛知県 豊田市
A-8派生3,A-8,愛知県,,エンジニア,機械,大手自動車部品メーカー,10,愛知県豊田市西広瀬町桐ケ洞543,生産管理,未経験者でもスタートできるエンジニア職！,愛知環状鉄道トヨタ市駅,自動車30分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,未経験歓迎　きれいな職場です,愛知県 豊田市
A-8派生4,A-8,愛知県,,エンジニア,機械,大手自動車部品メーカー,10,愛知県豊田市西広瀬町桐ケ洞543,生産管理,未経験者でもスタートできるエンジニア職！,愛知環状鉄道トヨタ市駅,自動車30分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,未経験歓迎　きれいな職場です,愛知県 豊田市
A-8派生5,A-8,愛知県,,エンジニア,機械,大手自動車部品メーカー,10,愛知県豊田市西広瀬町桐ケ洞543,生産管理,未経験者でもスタートできるエンジニア職！,愛知環状鉄道トヨタ市駅,自動車30分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,未経験歓迎　きれいな職場です,愛知県 豊田市
A-9派生1,A-9,愛知県,,エンジニア,電気,大手自動車メーカー,10,愛知県豊田市トヨタ町１,電池の実験、評価、解析,未経験者でもスタートできるエンジニア職！,愛知環状鉄道三河豊田駅,徒歩3分,電車・バス・自動車・バイク・自転車,無,日勤のみ,8:00～17:00,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,未経験歓迎　きれいな職場です,愛知県 豊田市
A-9派生2,A-9,愛知県,,エンジニア,電気,大手自動車メーカー,10,愛知県豊田市トヨタ町１,電池の実験、評価、解析,未経験者でもスタートできるエンジニア職！,愛知環状鉄道三河豊田駅,徒歩3分,電車・バス・自動車・バイク・自転車,無,日勤のみ,8:00～17:00,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,未経験歓迎　きれいな職場です,愛知県 豊田市
A-9派生3,A-9,愛知県,,エンジニア,電気,大手自動車メーカー,10,愛知県豊田市トヨタ町１,電池の実験、評価、解析,未経験者でもスタートできるエンジニア職！,愛知環状鉄道三河豊田駅,徒歩3分,電車・バス・自動車・バイク・自転車,無,日勤のみ,8:00～17:00,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,未経験歓迎　きれいな職場です,愛知県 豊田市
A-9派生4,A-9,愛知県,,エンジニア,電気,大手自動車メーカー,10,愛知県豊田市トヨタ町１,電池の実験、評価、解析,未経験者でもスタートできるエンジニア職！,愛知環状鉄道三河豊田駅,徒歩3分,電車・バス・自動車・バイク・自転車,無,日勤のみ,8:00～17:00,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,未経験歓迎　きれいな職場です,愛知県 豊田市
A-9派生5,A-9,愛知県,,エンジニア,電気,大手自動車メーカー,10,愛知県豊田市トヨタ町１,電池の実験、評価、解析,未経験者でもスタートできるエンジニア職！,愛知環状鉄道三河豊田駅,徒歩3分,電車・バス・自動車・バイク・自転車,無,日勤のみ,8:00～17:00,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,未経験歓迎　きれいな職場です,愛知県 豊田市
A-10派生1,A-10,,,エンジニア,電気,電子機器保守メーカー,1,栃木県小山市駅東通り2丁目37番3号,JRシステムの保守・運用,,JR小山駅,徒歩5分,電車・自動車・徒歩,無,,8:30～17:30,60分,,2024.4月まで日勤(5勤2休)以降不定期シフト,即日,,,,栃木県 小山市
A-10派生2,A-10,,,エンジニア,電気,電子機器保守メーカー,1,栃木県小山市駅東通り2丁目37番3号,JRシステムの保守・運用,,JR小山駅,徒歩5分,電車・自動車・徒歩,無,,8:30～17:30,60分,,2024.4月まで日勤(5勤2休)以降不定期シフト,即日,,,,栃木県 小山市
A-10派生3,A-10,,,エンジニア,電気,電子機器保守メーカー,1,栃木県小山市駅東通り2丁目37番3号,JRシステムの保守・運用,,JR小山駅,徒歩5分,電車・自動車・徒歩,無,,8:30～17:30,60分,,2024.4月まで日勤(5勤2休)以降不定期シフト,即日,,,,栃木県 小山市
A-10派生4,A-10,,,エンジニア,電気,電子機器保守メーカー,1,栃木県小山市駅東通り2丁目37番3号,JRシステムの保守・運用,,JR小山駅,徒歩5分,電車・自動車・徒歩,無,,8:30～17:30,60分,,2024.4月まで日勤(5勤2休)以降不定期シフト,即日,,,,栃木県 小山市
A-10派生5,A-10,,,エンジニア,電気,電子機器保守メーカー,1,栃木県小山市駅東通り2丁目37番3号,JRシステムの保守・運用,,JR小山駅,徒歩5分,電車・自動車・徒歩,無,,8:30～17:30,60分,,2024.4月まで日勤(5勤2休)以降不定期シフト,即日,,,,栃木県 小山市
A-11派生1,A-11,愛知県,,エンジニア,機械,大手自動車部品メーカー,5,愛知県安城市高棚新道1,生産技術サポート,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,自動車次世代製品の開発に係るチャンス！未経験者歓迎,愛知県 安城市
