管理番号,案件番号,ステータス*,初回入力日*,更新日*,企業名*,都道府県（配属先）*,市区町村（配属先）*,最寄駅（配属先）*,雇用形態*,種別,業務内容*,求めるスキル*,開発対象*,想定年収*,勤務h*,残業時間（h）*,受注数,未経験者,40代以上,外国籍,その他・補足事項（アピールポイントなど）,勤務地市町村
nk267RI2,UTe000434,-,2022/8/29,2024/8/19,大日本塗料　那須工場,栃木県,大田原市,野崎,正社員,R&D,塗料の基礎研究・製品開発業務,・GC、HPLC等の分析機器が使える人材,塗料,300万～400万,8:30～17:00,20h,3,可,不可,不可,,不明
nk267RE,UTe000434,-,2022/8/29,2024/8/19,大日本塗料　那須工場,栃木県,大田原市,野崎,正社員,R&D,塗料の基礎研究・製品開発業務,・GC、HPLC等の分析機器が使える人材,塗料,300万～400万,8:30～17:00,20h,3,可,不可,不可,,不明
nk268RE,UTe000435,-,2022/8/29,2024/8/19,大日本塗料　那須工場,栃木県,大田原市,野崎,正社員,R&D,塗料の基礎研究・製品開発業務,・LC-MSの熟練者,塗料,300万～500万,8:30～17:00,20h,3,不可,不可,不可,,不明
nk269RE,UTe000436,-,2022/8/29,2024/8/19,大日本塗料　那須工場,栃木県,大田原市,野崎,正社員,R&D,塗料の基礎研究・製品開発業務,・データサイエンティスト （ケミカルの知識がありデータ解析できる人材）,塗料,300万～500万,8:30～17:00,20h,3,不可,不可,不可,,不明
nk270RE,UTe000437,-,2022/8/29,2024/8/19,大日本塗料　那須工場,栃木県,大田原市,野崎,正社員,R&D,塗料の基礎研究・製品開発業務,・業界出身の知見を持った人材 （年齢不問）,塗料,300万～500万,8:30～17:00,20h,3,不可,可,不可,,不明
nk271IE,YKe000455,変更,2021/6/30,2024/8/19,東芝情報ｼｽﾃﾑ,神奈川県,川崎市,川崎,正社員/契約社員,IT,試作回路動作評価作業 FPGAによる試作回路をボードで実動させ、実動結果を期待値と比較しその結果を評価する。 期待値はエンドユーザーから供給される予定だが、一部自作の可能性あり。 C言語やスクリプト言語で期待値比較を行う作業が主体。,"＜MUST＞ ・C言語の読解とコーディングができる。(実務での経験があること。） ・Linuxオペレーションスキルがあること。 (grep,findなどのｺﾏﾝﾄﾞが使用出来る) ・初歩的なボード知識があること。(実機を用いるため) ＜WANT＞ ・LSI設計検証等のハートﾞｳｪｱ知識を持っている ・Verilog言語の知識と実務での設計・検証経験がある。 ・自発的に行動できること。 ・コミュニケーションが良好で自立して作業ができる",LSI,400万～,9:00～18:00,20h,3,不可,可,不可,,不明
nk272IE,SDe000456,変更,2021/6/30,2024/8/8,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ白石蔵王TEC,宮城県,白石市,東白石駅,正社員/契約社員,IT,設備保全業務 ・試作、量産時製造オペレーション補佐 ・装置開発技術補助,・装置オペレーション ・保全知識 ・PC業務スキル ・英語力 ・統計知識,半導体レーザー,250万～400万,8:30～17:30（休憩1h）,30h,4,不可,可,不可,長期案件 車通勤可（9割が車通勤） 作業服貸与 食堂完備 駐車場・駐輪場利用可能,不明
nk273ME,YKe000461,変更,2021/7/1,2024/8/19,ﾀﾏﾃﾞｨｯｸ,神奈川県,厚木市,愛甲石田駅,正社員/契約社員,機電,自動車外装部品（バンパ、ラジグリ、モール等外装樹脂部品類）設計業務,・N社圏にてNXを使用した上記外装部品の設計業務経験者,自動車部品,400万～,9:00～18:00,20h～30h,3,不可,可,可,,不明
nk274OE,YKe000472,変更,2021/7/2,2024/8/19,矢崎部品,静岡県,裾野市,岩波,正社員/契約社員,その他,電子顕微鏡（SEM，TEM），光学顕微鏡などを使用した金属組織観察業務、報告書作成,・観察試料作成（研磨，エッチングなど）のスキル ・電子顕微鏡・光学顕微鏡の基本操作による観察経験 ・無機・有機材料などを顕微鏡で観察する業務経験,ワイヤーハーネス,400万,8:30～17:30,20h,3,不可,可,不可,,不明
nk275OE,YKe000480,変更,2021/7/6,2024/8/19,東芝情報ｼｽﾃﾑ,神奈川県,鎌倉市,大船,正社員/契約社員,その他,小型基板の電気特性の測定とデータ集計と分析 ・ベクトレウネットワークアナライザ、プローバ等を用いて基板の伝送路の電気特性を測定し、測定データを集計分析,＜MUST＞ ・基板伝送路の電気特性の知識がある。 ・測定器を用いての測定経験がある。 ・基板回路の設計、AWの経験がある。 ・基板配線の伝送路検証の経験がある。 ・はんだでの配線経験がある。 ・ExcelVBAでのデータ集計・分析経験がある。 ・Word、PowerPointでの文書、資料作成ができる。 ＜その他＞ ・自発的に周りの人とコミュニケーションをとることができる ・長期作業になります。(複数年) 大船にて本業務に従事する意思があること。 ・かなり細かい作業あり、手先が器用な方,LSI,400万～,9:00～18:00,20h,3,不可,可,不可,,不明
