管理番号,案件番号,ステータス*,初回入力日*,更新日*,企業名*,都道府県（配属先）*,市区町村（配属先）*,最寄駅（配属先）*,雇用形態*,種別,業務内容*,求めるスキル*,開発対象*,想定年収*,勤務h*,残業時間（h）*,受注数,未経験者,40代以上,外国籍,その他・補足事項（アピールポイントなど）,勤務地市町村
nk98IE,TOD50,変更,2020/7/14,2024/9/2,日本ｼｽﾃﾑｳｪｱ,東京都,渋谷区,渋谷駅,正社員/契約社員,IT,LSI論理設計、検証、画像処理系,・LSIの論理設計経験,LSI、IT,450万～600万,9:00～18:00,40h,22,不可,可,可,設計から生産技術まで、 総合エンジニアリングサービスを展開　　　,不明
nk99OE,TOE55,-,2021/6/17,2024/9/2,幸大ﾊｲﾃｯｸ,埼玉県,羽生市,南羽生駅,正社員/契約社員,その他,医療機器、産業機器の試作設計。(CR5000) 電子回路設計、各種評価。また、試作設計に伴う業務全般,・アナログ回路設計経験,プリント機器基盤,300～500万円,8:30～17:30,30h,3,不可,,可,,不明
nk100IE,TOE56,-,2021/6/17,2024/9/2,DNPｴﾙ･ｴｽ･ｱｲ･ﾃﾞｻﾞｲﾝ,埼玉県/東京都/神奈川県　※相談に応じて全国（客先常駐）,（主要）ふじみ野市 厚木市/品川区/国分寺市,（主要）福岡駅/本厚木駅 五反田駅/国分寺駅,正社員/契約社員,IT,半導体回路設計・論理設計・インプリ設計・レイアウト設計,・各業務経験のある人,半導体,300～500万円,9:00～18:00,20h,30,不可,,可,フレックス対応。一部テレワーク業務。,不明
nk101ME,TOE58,-,2021/6/17,2024/9/2,GSﾕｱｻ　ｲﾝﾌﾗｼｽﾃﾑｽﾞ,埼玉県,ふじみ野市,ふじみ野駅,正社員/契約社員,機電,検査工程の自動化推進と構築・IOT業務,・組込み経験でも可 ＜WANT＞ ・電気知識がある方,パワーシステム製品,300～500万円,8:15～16:55,10h,3,不可,,可,,不明
nk102IE,TOF07,変更,2021/2/4,2024/9/2,日邦ﾌﾟﾚｼｼﾞｮﾝ,山梨県,北杜市,韮崎駅,正社員/契約社員,IT,ソフト設計,・実務経験3年以上 ・組込CPU設計 ・搬送装置、プロセス装置の設計 ・C言語、VC、VB,半導体関連,350～400万円,8:30～17:20,20h,3,不可,,不可,車通勤限定,不明
nk103IE,TOF08,変更,2021/2/4,2024/9/2,日邦ﾌﾟﾚｼｼﾞｮﾝ,山梨県,北杜市,韮崎駅,正社員/契約社員,IT,エレキ設計,・実務経験3年以上 ・AutoCAD、OrCADの使用 ・PLCラダー設計経験 ・電装・搬送装置の制御設計,半導体関連,350～400万円,8:30～17:20,20h,3,不可,,不可,車通勤限定,不明
nk104ME,TOF14,変更,2021/2/11,2024/9/2,ﾃｽ,東京都,国立市,国立駅,正社員/契約社員,機電,汎用旋盤加工,・汎用旋盤の加工業務経験,電車,300万前後,8:00～17:00,10h,3,不可,,不可,,不明
nk105ME,TOG01,変更,2021/2/11,2024/9/13,ﾆﾁｺﾝ,東京都,中央区,茅場町駅,正社員/契約社員,機電,太陽光発電のパワーコンディショナーの評価・設計,・太陽光発電のパワーコンディショナーの品質保証・解析・設計の経験,家庭用蓄電池,400～600万円,8:45～17:15,20h,3,不可,可,可,電気性評価の経験や、電源系の設計の経験のある方を幅広く募集。,不明
nk106OE,TOG02,変更,2021/4/2,2024/9/13,伊藤忠ﾃｸﾉｿﾘｭｰｼｮﾝｽﾞ,東京都,港区,神谷町駅,正社員/契約社員,その他,原子力施設の構造解析,・耐震解析・構造解析の経験,原子力施設,400～550万円,9:00～17:30,20h,3,不可,可,可,テレワーク可能。綺麗で開放的なオフィスです。,不明
nk107IE,HT11,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ長崎TEC,長崎県,諫早市,諫早駅,正社員,IT,半導体プロセス開発,・半導体または電子部品のプロセス経験 ・LITHO工程設備のメンテナンスやトラブル対応経験(TRACK/露光装置) ・半導体ウェーハ工程の経験者,イメージセンサー,300万～450万,8:30～17:30,30h,10,不可,可,可,大手半導体企業のお仕事です。,不明
nk108IE,HT150,変更,2021/1/8,2024/6/4,ﾗｯｸ,福岡県,福岡市,黒崎駅,正社員,IT,工場の生産システム設計,・生産システム設計経験,電気計装システム,400万～550万,8:30～17:30,40h,3,不可,可,不可,,不明
nk109IE,HT165,変更,2021/1/8,2024/6/4,伊藤忠ﾃｸﾉｿﾘｭｰｼｮﾝｽﾞ,福岡県,福岡市,博多駅,正社員,IT,工場の生産システム設計,・生産システム設計経験,電気計装システム,400万～550万,8:30～17:30,40h,3,不可,可,不可,,不明
nk110ME,HT17,変更,2021/1/8,2024/6/4,ﾌﾟﾚｼｰﾄﾞ,熊本県,上益城郡嘉島町,健軍電停,正社員,機電,各種装置の組立業務、設計補助業務等,・装置立上経験、組み立て経験等,半導体関連装置、自動車関連装置、エレクトロニクス関連装置、液晶関連装置、インクジェット関連装置等,300万～450万,8:30～17:30,40h,3,不可,,不可,,不明
nk111IE,HT170,変更,2021/1/8,2024/6/4,九州NSｿﾘｭｰｼｮﾝｽﾞ,大分県,大分市,大分駅,正社員,IT,工場の生産システム設計,・生産システム設計経験,電気計装システム,400万～550万,8:30～17:30,40h,3,不可,可,不可,,不明
nk112OE,HT176,変更,2021/1/8,2024/6/4,ﾄｯﾊﾟﾝ･ﾃｸﾆｶﾙ･ﾃﾞｻﾞｲﾝｾﾝﾀｰ,福岡県,福岡市,博多駅,正社員,その他,LSIアナログ回路設計,・LSIアナログ回路設計,LSI,400万～550万,8:30～17:30,30h,3,不可,可,不可,大手半導体企業のお仕事です。,不明
nk113ME,HT178,変更,2021/1/8,2024/6/4,ﾜｲｴｲｼｲﾒｶﾄﾛﾆｸｽ,大分県,大分市,大分駅,正社員,機電,太陽電池生産装置の設計,メカ：機械工学エレキ：三菱PLC,太陽電池,400万～550万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk114OE,HT179,変更,2021/1/8,2024/6/4,亀山電機,長崎県,長崎市,長崎駅,正社員,その他,自動化に関する各種制御装置の設計・製作,・三菱電機PLC(シーケンサー)展開接続図が分かる ・実務経験5年以上,化学プラント,400万～550万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk115IE,HT182,変更,2021/1/8,2024/6/4,ｱｲｼﾝ精機九州開発ｾﾝﾀｰ,福岡県,北九州市,折尾駅,正社員,IT,車載系組込（GPS、画像、パネル）、通信制御設計業務,・C、C++、Python言語,半導体組込,400万～550万,8:30～17:30,30h,3,不可,可,不可,大手半導体企業のお仕事です。,不明
nk116IE,HT183,変更,2021/1/8,2024/6/4,DNPｴﾙ･ｴｽ･ｱｲ･ﾃﾞｻﾞｲﾝ,福岡県,福岡市,博多駅,正社員,IT,LSIアナログ回路設計,・LSI回路設計経験 ・半導体電気回路知見 ・組込系プログラム経験,半導体,450万～600万,8:30～17:30,30h,5,不可,可,可,大手半導体企業のお仕事です。,不明
nk117ME,HT195,変更,2021/1/8,2024/6/4,日産車体九州,福岡県,京都郡,苅田駅,正社員,機電,省エネパトロール エネルギーデータ計測・集計・解析 計測異常調査・現場調査 設備運転状況・調査,・業務経験 ・四大機械工学修了 ・Word、Excel、PowerPoint,自動車部品,350万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk118ME,HT196,変更,2021/1/8,2024/6/4,ﾄﾖﾀ自動車九州,福岡県,京都郡苅田町,朽網駅,正社員,機電,新規エンジン品質管理業務,・品質管理経験者もしくは生技経験者,自動車エンジン,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk119ME,HT197,変更,2021/1/8,2024/6/4,ﾄﾖﾀ自動車九州,福岡県,宮若市,赤間駅,正社員,機電,ボデーシェル／外装部品の設計,・CATIAV5 ・ボデー設計業務の経験者,自動車ボデー,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk120MI1,HT200,変更,2021/1/8,2024/6/4,ﾌﾞﾘﾁﾞｽﾄﾝ甘木工場,福岡県,朝倉市,西鉄甘木駅,正社員,機電,タイヤ製造設備の設計変更や工程設計,・機械工学の知見,タイヤ製造設備,300万～450万,8:30～17:30,30h,3,可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk120MI2,HT200,変更,2021/1/8,2024/6/4,ﾌﾞﾘﾁﾞｽﾄﾝ甘木工場,福岡県,朝倉市,西鉄甘木駅,正社員,機電,タイヤ製造設備の設計変更や工程設計,・機械工学の知見,タイヤ製造設備,300万～450万,8:30～17:30,30h,3,可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk120ME,HT200,変更,2021/1/8,2024/6/4,ﾌﾞﾘﾁﾞｽﾄﾝ甘木工場,福岡県,朝倉市,西鉄甘木駅,正社員,機電,タイヤ製造設備の設計変更や工程設計,・機械工学の知見,タイヤ製造設備,300万～450万,8:30～17:30,30h,3,可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk121ME,HT201,変更,2021/1/8,2024/6/4,日特ｴﾝｼﾞﾆｱﾘﾝｸﾞ,長崎県,大村市,竹松駅,正社員,機電,機械設計、電気設計、制御設計,・機械設計、電気設計、制御設計,自動車、スマートフォン製造装置,300万～450万,8:30～17:30,30h,5,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk122ME,HT206,変更,2021/1/8,2024/6/4,ﾀﾞｲﾊﾂ九州,大分県,中津市,中津駅,正社員,機電,自動車生産技術,・設備設計経験,軽自動車,350万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk123OE,HT207,変更,2021/1/8,2024/6/4,三井三池製作所,福岡県,大牟田市,大牟田駅,正社員,その他,産業機械の電気設計,・電気知見,減速機、流体機械,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk124ME,HT209,変更,2021/1/8,2024/6/4,ﾌﾞﾘﾁﾞｽﾄﾝ久留米工場,福岡県,久留米市,西鉄久留米駅,正社員,機電,タイヤ製造設備の電気制御設計,・電気工学の知見,タイヤ,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk125IE,HT213,変更,2021/1/8,2024/6/4,横河ｿﾘｭｰｼｮﾝｻｰﾋﾞｽ,福岡県,北九州市,黒崎駅,正社員,IT,工場の生産システム設計,・生産システム設計経験,電気計装システム,300万～450万,8:30～17:30,40h,3,不可,可,不可,,不明
nk126ME,HT217,変更,2021/1/8,2024/6/4,末松九機,福岡県,福岡市,博多駅,正社員,機電,産業用ロボット系の機械設計,・AutoCAD、JWCAD経験者,産業用ロボット、公共インフラ,300万～450万,8:30～17:30,40h,3,不可,可,可,,不明
nk127OE,HT218,変更,2021/1/8,2024/6/4,不動技研工業,福岡県,北九州市,小倉駅,正社員,その他,土木プラント設計,・JWCAD経験者,産業用プラント,300万～450万,8:30～17:30,40h,3,不可,可,可,大手自動車系メーカーのお仕事です。,不明
nk128ME,HT219,変更,2021/1/8,2024/6/4,TOTOｴｷｽﾊﾟｰﾄ,福岡県,北九州市,小倉駅,正社員,機電,金型・機械、電機・制御設計,・AutoCAD経験者,セラミック製品,300万～450万,8:30～17:30,40h,5,不可,可,可,大手自動車系メーカーのお仕事です。,不明
nk129OE,HT220,変更,2021/1/8,2024/6/4,古河電工産業電線,福岡県,北九州市,小倉駅,正社員,その他,製造設備保全のリーダー,・設備保全経験,ケーブル、電線,300万～450万,8:30～17:30,40h,3,不可,可,可,大手自動車系メーカーのお仕事です。,不明
nk130OE,HT221,変更,2021/1/8,2024/6/4,ｼﾞｪｲﾃﾞﾊﾞｲｽ,福岡県,宮若市,赤間駅,正社員,その他,原動力設備の設計,・機械設計経験、生産技術経験者,ハーネス,300万～450万,8:30～17:30,40h,3,不可,可,可,大手自動車系メーカーのお仕事です。,不明
nk131ME,HT223,変更,2021/1/8,2024/6/4,ﾌｧﾙﾃｯｸ,福岡県,京都郡,赤間駅,正社員,機電,自動車品質管理(塗装、成型、不良),・自動車品質管理経験(塗装、成型、不良),自動車部品,300万～450万,8:30～17:30,40h,3,不可,可,可,大手自動車系メーカーのお仕事です。,不明
nk132IE,HT224,変更,2021/1/8,2024/6/4,ｿﾆｰLSIﾃﾞｻﾞｲﾝ,福岡県,福岡市,博多駅,正社員,IT,LSI設計、解析、評価,・LSI設計、解析、評価経験,半導体LSI,300万～450万,8:30～17:30,40h,10,不可,可,可,大手半導体企業のお仕事です。,不明
nk133IE,HT225,変更,2021/1/8,2024/6/4,日本ﾏｲｸﾛﾆｸｽ,大分県,大分市,大分駅,正社員,IT,半導体、回路設計,・半導体回路設計経験,プローブカード,300万～450万,8:30～17:30,40h,3,不可,可,可,大手半導体企業のお仕事です。,不明
nk134IE,HT228,変更,2021/1/8,2024/6/4,ｼﾞｬﾊﾟﾝｾﾐｺﾝﾀﾞｸﾀｰ,大分県,大分市,大分駅,正社員,IT,半導体製造に関する生産性改善業務及び、新規装置立ち上げ・運用管理規定構築,・半導体実務経験,半導体製造装置,300万～450万,8:30～17:30,40h,10,不可,可,可,大手半導体企業のお仕事です。,不明
nk135IE,HT229,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ大分TEC,大分県,大分市,大分駅,正社員,IT,半導体プロセス開発,・半導体前工程プロセス開発経験,半導体前工程プロセス開発経験,300万～450万,8:15～17:00,40h,3,不可,可,可,大手半導体企業のお仕事です。,不明
nk136ME,HT230,変更,2021/1/8,2024/6/4,西日本検査,大分県,大分市,大分駅,正社員,機電,JWCAD使用経験,・JWCAD使用経験,産業用設備,300万～450万,8:30～17:30,40h,3,不可,可,可,大手自動車系メーカーのお仕事です。,不明
nk137ME,HT231,変更,2021/1/8,2024/6/4,九州市光工業,大分県,中津市,中津駅,正社員,機電,金型・プラスチック成型機の保守メンテナンス／品質管理,・金型・プラスチック成型機の保守メンテナンス／品質管理経験,自動車部品,300万～450万,8:30～17:30,40h,3,不可,可,可,大手自動車系メーカーのお仕事です。,不明
nk138ME,HT232,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ大分ﾃｸﾉﾛｼﾞｰｾﾝﾀｰ,大分県,国東市,国東駅,正社員,機電,カメラモジュール、ＣＭＯＳの製作,・回路設計、電気測定、シュミレーション等の経験者,カメラモジュール,300万～450万,8:30～17:30,40h,3,不可,可,可,大手半導体企業のお仕事です。,不明
nk139ME,HT237,変更,2021/1/8,2024/6/4,ﾄﾖﾀ紡織九州,佐賀県,神埼市,神埼駅,正社員,機電,自動車部品の機械設計、生産技術、品質管理,・自動車部品の機械設計、生産技術、品質管理経験者,自動車部品,300万～450万,8:30～17:30,40h,10,不可,可,可,大手自動車系メーカーのお仕事です。,不明
nk140ME,HT240,変更,2021/1/8,2024/6/4,ﾄﾖﾀ自動車九州,福岡県,宮若市,赤間駅,正社員,機電,HVモータの設計業務・HVﾓｰﾀの部品設計業務 ・CATIA作図 ・搭載設計 ・解析等 ・車種展開業務（法規認証業務、発売準備、部品表等）,"・CATIAV5実務使用経験 ・強度、振動（共振）解析・エンコパ搭載設計、実車確認 ・機械設計業務経験(アルミ、鉄、樹脂部品) ・TMKR&D/TMC/トヨタGrでの設計業務経験（図面作成、部品表,設変,外設申作成等、ﾄﾖﾀ専用システムSMS等",自動車部品,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk141ME,HT242,変更,2021/1/8,2024/6/4,ﾄﾖﾀ自動車九州,福岡県,宮若市,赤間駅,正社員,機電,車体工場の自動化改善業務 ・ボデー工程自働化改善に向けた設備仕様検討 ・調達業務 ・設置工事管理（製造現場との各種調整含む）,・生産技術経験、工事管理経験 CATIA、プレス生産準備経験,自動車部品,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk142ME,HT243,変更,2021/1/8,2024/6/4,ﾄﾖﾀ自動車九州,福岡県,宮若市,赤間駅,正社員,機電,ロボット老朽更新業務、設備自動化業務 ・ロボット入替工事の計画 ・工事段取り、現地工事対応 ・有人工程の作業自動化改造設備仕様検討～現地工事対応,CATIA、AutoCAD、CAROTTⅢ 生産準備業務。工程計画業務,自動車部品,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk143ME,HT266,変更,2021/1/8,2024/6/4,日産車体九州,福岡県,京都郡,苅田駅,正社員,機電,HVモータの設計業務・HVﾓｰﾀの部品設計業務 ・CATIA作図 ・搭載設計 ・解析等 ・車種展開業務（法規認証業務、発売準備、部品表等）,・強度、振動（共振）解析・エンコパ搭載設計、実車確認 ・機械設計業務経験(アルミ、鉄、樹脂部品),自動車部品,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk144ME,HT284,変更,2021/1/8,2024/6/4,日産車体九州,福岡県,京都郡,苅田駅,正社員,機電,新車生準における設備導入支援,・生産技術経験、製造技術経験,自動車部品,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk145ME,HT285,変更,2021/1/8,2024/6/4,日産車体九州,福岡県,京都郡,苅田駅,正社員,機電,ボデー工程の品質向上活動、生産性向上活動,・生産技術経験、品質管理、開発関連経験,自動車部品,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk146ME,HT286,変更,2021/1/8,2024/6/4,日産車体九州,福岡県,京都郡,苅田駅,正社員,機電,品管部内へ導入した社外システムの管理、改造、新規導入業務 ・TQM、品証、品管スタッフ及び検査 ・監査課の業務支援ツールの開発と維持管理 ・VBによるアプリ開発やVB6→VB15へのプログラム更新やデータベースのプログラム化,・SE経験3年以上 ・VB系によるwindowsアプリ、ASP、net、JavaによるWebアプリ開発経験者 SQLServer、Postgresと上記言語使用のシステム開発経験者,自動車部品,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk147ME,HT288,変更,2021/1/8,2024/6/4,日産車体九州,福岡県,京都郡,苅田駅,正社員,機電,全社のIoT活動における個別案件の推進 ・ビジネス部署との要件定義 ・設計移行のITベンダ窓口,・業務システム企画、開発、運用、いずれかの経験,自動車部品,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk148ME,HT299,変更,2021/1/8,2024/6/4,ﾀﾞｲﾊﾂ九州,大分県,中津駅,中津駅,正社員,機電,部品電着新設工事 塗装工場更新工事の検討及び工事 メーカー工事管理 ロボット、塗装機、搬送、ブース、空調機のメーカー、現場調整、工事管理,・CATIA ・生産技術、改善、保全経験,自動車部品,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk149ME,HT300,変更,2021/1/8,2024/6/4,ﾀﾞｲﾊﾂ九州,大分県,中津駅,中津駅,正社員,機電,プレス設備生産準備業務 大物プレス金型の設備導入・改造業務 ローラーへミング設備の導入・改造業務,・CATIA ・プレス生産準備経験,自動車部品,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk150ME,HT301,変更,2021/1/8,2024/6/4,ﾀﾞｲﾊﾂ九州,大分県,中津駅,中津駅,正社員,機電,プレスショップでの型保全担当 プレス金型に起因する不具合の原因追及と対策立案 プレス課との各種調整を含む,・CATIA・プレス生産技術・設計経験 ・コミュニケーション能力,自動車部品,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk151ME,HT308,変更,2021/1/8,2024/6/4,ﾀﾞｲﾊﾂ九州,大分県,中津駅,中津駅,正社員,機電,プレス/ボデーの必要数集計処理、逆物出荷処理 MVC梱包計画/バンニング計画作成処理,・業務内容の実務経験,自動車部品,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk152ME,HT309,変更,2021/1/8,2024/6/4,ﾀﾞｲﾊﾂ九州,大分県,中津駅,中津駅,正社員,機電,搬送、工程整備に関わる仕様作成、交渉、メーカー管理、工事管理、現場調整,・CAD、CATIA、生産技術経験,自動車部品,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk153MI1,HT31,変更,2021/1/8,2024/6/4,ﾄﾖﾀ自動車九州,福岡県,宮若市,直方駅 （バスで60分）,正社員,機電,一般事務/総務・庶務業務/生産管理 ・オフィス内の電話対応・来客対応・データ入力 ・資料作成・スケジュール管理などを想定,・Excel/WordなどPCソフトの一般操作の経験,自動車,240万～300万,8:30～17:30,10h,3,可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk153MI2,HT31,変更,2021/1/8,2024/6/4,ﾄﾖﾀ自動車九州,福岡県,宮若市,直方駅 （バスで60分）,正社員,機電,一般事務/総務・庶務業務/生産管理 ・オフィス内の電話対応・来客対応・データ入力 ・資料作成・スケジュール管理などを想定,・Excel/WordなどPCソフトの一般操作の経験,自動車,240万～300万,8:30～17:30,10h,3,可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk153ME,HT31,変更,2021/1/8,2024/6/4,ﾄﾖﾀ自動車九州,福岡県,宮若市,直方駅 （バスで60分）,正社員,機電,一般事務/総務・庶務業務/生産管理 ・オフィス内の電話対応・来客対応・データ入力 ・資料作成・スケジュール管理などを想定,・Excel/WordなどPCソフトの一般操作の経験,自動車,240万～300万,8:30～17:30,10h,3,可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk154ME,HT310,変更,2021/1/8,2024/6/4,ﾀﾞｲﾊﾂ九州,大分県,中津駅,中津駅,正社員,機電,新車生準（100B)における設備導入支援,・生産技術経験、製造技術経験,自動車部品,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk155ME,HT311,変更,2021/1/8,2024/6/4,ﾀﾞｲﾊﾂ九州,大分県,中津駅,中津駅,正社員,機電,ボデー工程の品質向上活動、生産性向上活動,・生産技術経験、品質管理、開発関連経験,自動車部品,300万～450万,8:30～17:30,30h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk156ME,HT325,変更,2021/1/8,2024/6/4,ﾄﾖﾀ車体研究所,鹿児島県,霧島市国分,国分駅,正社員,機電,自動車の内外装部品設計業務,・CATIA-V5での設計実務経験 ・樹脂設計の経験 ・ワイヤーハーネスの経験や、車載システム、電気系、配策業務経験,自動車,400万～550万,8:30～17:30,40h,5,不可,,可,,不明
nk157IE,HT327,変更,2021/1/8,2024/6/4,富士ｿﾌﾄ熊本ｵﾌｨｽ,熊本県,熊本市中央区,原水駅,正社員,IT,半導体製造装置制御設計組込み,・C言語、C++、組込み経験等,半導体製造装置,400万～550万,8:30～17:30,40h,5,不可,,可,,不明
nk158IE,HT329,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ長崎ﾃｸﾉﾛｼﾞｰｾﾝﾀｰ,長崎県,諫早市,諫早駅,正社員,IT,製造間接-改善活動 SF-PJ推進に当たり、もの流し分析、およびシステム化の提案,・半導体生産、プロセス技術経験,イメージセンサー,300万～450万,8:30～17:30,30h,3,不可,可,可,大手半導体企業のお仕事です。,不明
nk159OI1,HT330,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ長崎ﾃｸﾉﾛｼﾞｰｾﾝﾀｰ,長崎県,諫早市,諫早駅,正社員,その他,製造技術-ウエハ技術Litho工程ラインエンジニア業務,(技術係業務補佐)Litho着工品流動判断、横展開条件出し、Litho関連設備レシピ作成等,イメージセンサー,300万～450万,8:30～17:30,30h,3,可,可,可,大手半導体企業のお仕事です。,不明
nk159OI2,HT330,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ長崎ﾃｸﾉﾛｼﾞｰｾﾝﾀｰ,長崎県,諫早市,諫早駅,正社員,その他,製造技術-ウエハ技術Litho工程ラインエンジニア業務,(技術係業務補佐)Litho着工品流動判断、横展開条件出し、Litho関連設備レシピ作成等,イメージセンサー,300万～450万,8:30～17:30,30h,3,可,可,可,大手半導体企業のお仕事です。,不明
nk159OE,HT330,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ長崎ﾃｸﾉﾛｼﾞｰｾﾝﾀｰ,長崎県,諫早市,諫早駅,正社員,その他,製造技術-ウエハ技術Litho工程ラインエンジニア業務,(技術係業務補佐)Litho着工品流動判断、横展開条件出し、Litho関連設備レシピ作成等,イメージセンサー,300万～450万,8:30～17:30,30h,3,可,可,可,大手半導体企業のお仕事です。,不明
nk160II1,HT331,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ長崎ﾃｸﾉﾛｼﾞｰｾﾝﾀｰ,長崎県,諫早市,諫早駅,正社員,IT,開発-デバイス技術開発,・Lot流動対応や試作特性評価,イメージセンサー,300万～450万,8:30～17:30,30h,3,可,可,可,大手半導体企業のお仕事です。,不明
nk160II2,HT331,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ長崎ﾃｸﾉﾛｼﾞｰｾﾝﾀｰ,長崎県,諫早市,諫早駅,正社員,IT,開発-デバイス技術開発,・Lot流動対応や試作特性評価,イメージセンサー,300万～450万,8:30～17:30,30h,3,可,可,可,大手半導体企業のお仕事です。,不明
nk160IE,HT331,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ長崎ﾃｸﾉﾛｼﾞｰｾﾝﾀｰ,長崎県,諫早市,諫早駅,正社員,IT,開発-デバイス技術開発,・Lot流動対応や試作特性評価,イメージセンサー,300万～450万,8:30～17:30,30h,3,可,可,可,大手半導体企業のお仕事です。,不明
nk161II1,HT332,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ長崎ﾃｸﾉﾛｼﾞｰｾﾝﾀｰ,長崎県,諫早市,諫早駅,正社員,IT,設計-製品技術,・不良・欠陥箇所の断面形状取得と解析,イメージセンサー,300万～450万,8:30～17:30,30h,3,可,可,可,大手半導体企業のお仕事です。,不明
nk161II2,HT332,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ長崎ﾃｸﾉﾛｼﾞｰｾﾝﾀｰ,長崎県,諫早市,諫早駅,正社員,IT,設計-製品技術,・不良・欠陥箇所の断面形状取得と解析,イメージセンサー,300万～450万,8:30～17:30,30h,3,可,可,可,大手半導体企業のお仕事です。,不明
nk161IE,HT332,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ長崎ﾃｸﾉﾛｼﾞｰｾﾝﾀｰ,長崎県,諫早市,諫早駅,正社員,IT,設計-製品技術,・不良・欠陥箇所の断面形状取得と解析,イメージセンサー,300万～450万,8:30～17:30,30h,3,可,可,可,大手半導体企業のお仕事です。,不明
